name,price,color,mileage,brand,model,location,date_displayed,transmission,air_conditioner,power_steering,remote_control,item_url,year,log_price,car_age,km_per_year,search_text
Lada Granta 2018,300000.0,Gold,210000.0,Lada,Granta,Alexandria,2024-02-12,Manual,No,Yes,No,https://eg.hatla2ee.com/en/car/lada/granta/6267816,2018.0,12.611541086966115,8.0,26250.0,brand Lada model Granta name Lada Granta 2018 location Alexandria color Gold transmission Manual
Nissan Sunny 2022,900000.0,Bronze,34000.0,Nissan,Sunny,Sheikh Zayed City,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6267831,2022.0,13.710151153416941,4.0,8500.0,brand Nissan model Sunny name Nissan Sunny 2022 location Sheikh Zayed City color Bronze transmission Automatic
Chevrolet Lanos 2013,350000.0,Silver,161000.0,Chevrolet,Lanos,Heliopolis,2024-02-12,Manual,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6267867,2013.0,12.765691290604371,13.0,12384.615384615385,brand Chevrolet model Lanos name Chevrolet Lanos 2013 location Heliopolis color Silver transmission Manual
Kia Cerato 2013,530000.0,Red,217000.0,Kia,Cerato,Cairo,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6267710,2013.0,13.180634172318978,13.0,16692.30769230769,brand Kia model Cerato name Kia Cerato 2013 location Cairo color Red transmission Automatic
Chevrolet T-Series 2016,750000.0,Green,203000.0,Chevrolet,T-Series,El Marg,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/T-Series/6267687,2016.0,13.527829818844937,10.0,20300.0,brand Chevrolet model T-Series name Chevrolet T-Series 2016 location El Marg color Green transmission Manual
Nissan Qashqai 2021,1250000.0,White,90000.0,Nissan,Qashqai,Beheira,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/qashqai/6267719,2021.0,14.038654909278163,5.0,18000.0,brand Nissan model Qashqai name Nissan Qashqai 2021 location Beheira color White transmission Automatic
Renault Captur 2018,900000.0,Black,59000.0,Renault,Captur,El Minya,2024-02-12,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/renault/captur/6267591,2018.0,13.710151153416941,8.0,7375.0,brand Renault model Captur name Renault Captur 2018 location El Minya color Black transmission Automatic
Nissan Sunny 2012,650000.0,Silver,180000.0,Nissan,Sunny,Obour City,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6267537,2012.0,13.384729180332174,14.0,12857.142857142857,brand Nissan model Sunny name Nissan Sunny 2012 location Obour City color Silver transmission Manual
Mitsubishi Lancer EX Shark 2015,800000.0,Silver,165000.0,Mitsubishi,Lancer EX Shark,Tanta,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6267438,2015.0,13.592368256649284,11.0,15000.0,brand Mitsubishi model Lancer EX Shark name Mitsubishi Lancer EX Shark 2015 location Tanta color Silver transmission Automatic
Jeep Wrangler 2016,1750000.0,Black,112000.0,Jeep,Wrangler,Cairo,2024-02-12,Automatic,Yes,No,Yes,https://eg.hatla2ee.com/en/car/jeep/wrangler/6273092,2016.0,14.375126917328105,10.0,11200.0,brand Jeep model Wrangler name Jeep Wrangler 2016 location Cairo color Black transmission Automatic
